web_id,adresse_original,adresse_bereinigt,lat,lon,coord_source
1725,Blissestr. 30,Blissestr. 30,52.4825296,13.3201664,osm
331,Blissestr. 31,Blissestr. 31,52.4823031,13.3205609,osm
332,Blissestr. 43,Blissestr. 43,52.4812075,13.3205443,osm
333,Blissestr. 49,Blissestr. 49,52.4805764,13.3205339,osm
334,Blissestr. 61,Blissestr. 61,52.4796761,13.3205195,osm
1797,Blücherstr. 23,Blücherstr. 23,52.4942314,13.3989897,osm
1867,Blumenthalstr. 13,Blumenthalstr. 13,52.4978215,13.3658815,osm
1681,"Boddinstr. 55, Hermann-Boddin-Schule",Boddinstr. 55,52.48008885,13.43064600242509,osm
1677,"Boelckestr. 58-60, Tempelherren-Grundschule",Boelckestr. 58,52.4781863,13.3759221,osm
1573,Bondickstraße 14 / Königin-Luise-Kirche,Bondickstraße 14,52.60408015,13.313541163949996,osm
904,"Bonner Str. 1 a, 2",Bonner Str. 1,52.4679244,13.313653,osm
903,Bonner Str. 7-14,Bonner Str. 7,52.4679244,13.313653,osm
1016,Bonner Str. 7-14,Bonner Str. 7,52.4679244,13.313653,osm
1748,Boothstraße 1-1h,Boothstraße 1,52.4342106,13.3257474,osm
654,Boraweg 1-3/Mühlenstr. 63,Boraweg 1,52.4325873,13.3471252,osm
441,Borkumer Str. 12,Borkumer Str. 12,52.4707592,13.2983211,osm
442,Borkumer Str. 13,Borkumer Str. 13,52.470232,13.3006916,osm
1273,"Borkumer Str. 13, 13 a, 15",Borkumer Str. 13,52.470232,13.3006916,osm
1362,Borkumer Str. 24/ Harlinger Str. 6,Borkumer Str. 24,52.4706923,13.2992858,osm
1360,Borkumer Str. 25 a,Borkumer Str. 25 a,52.4706837,13.2988306,osm
1361,Borkumer Str. 25-27,Borkumer Str. 25,52.4707592,13.2983211,osm
1363,Borkumer Str. 29-31,Borkumer Str. 29,52.4707592,13.2983211,osm
25,Borkumer Str. 33,Borkumer Str. 33,52.470671,13.2975643,osm
1367,Borkumer Str. 39,Borkumer Str. 39,52.4707332,13.2970133,osm
1366,Borkumer Str. 45,Borkumer Str. 45,52.4707634,13.2960927,osm
307,Borkumer Str. 49/51,Borkumer Str. 49,52.4708173,13.2955669,osm
156,Borkumer Str. 53,Borkumer Str. 53,52.4707748,13.2951484,osm
306,Borkumer Str. 55,Borkumer Str. 55,52.4707511,13.2949567,osm
1364,"Borkumer Str. 6,8,10",Borkumer Str. 6,52.4704066,13.3016316,osm
1270,"Borkumer Str. 9,9a,11",Borkumer Str. 9,52.4701657,13.3011956,osm
1106,Borstellstr. 12,Borstellstr. 12,52.4491988,13.3472104,osm
704,Borstellstr. 14,Borstellstr. 14,52.44893285,13.347274908900223,osm
1389,Stuthirtenweg 6,Stuthirtenweg 6,52.4170922,13.4472501,osm
1390,Borstellstr. 16,Borstellstr. 16,52.4488005,13.3470849,osm
701,Borstellstr. 20,Borstellstr. 20,52.448748,13.3465277,osm
1097,Borstellstr. 22,Borstellstr. 22,52.4484547,13.3466174,osm
1796,Borstellstr. 25/Ecke Benzmannstr. 22,Borstellstr. 25,52.4478314,13.3465909,osm
1627,Borstellstr. 29,Borstellstr. 29,52.4474644,13.3463489,osm
698,Borstellstr. 30,Borstellstr. 30,52.4476615,13.3455397,osm
1111,Borstellstr. 44,Borstellstr. 44,52.4463657,13.344646,osm
380,Borussiastr. 35,Borussiastr. 35,52.4669067,13.391050508083794,osm
379,Borussiastr. 38-38 b/Germaniastr. 157,Borussiastr. 38,52.4671206,13.3919045,osm
1604,Böttgerstr. 4,Böttgerstr. 4,52.5498614,13.3789173,osm
1183,Bottroper Weg 13 - 27,Bottroper Weg 13,52.5766547,13.282794,osm
1181,Bottroper Weg 2 / Gewobag Verwaltung,Bottroper Weg 2,52.5774702,13.2824052,osm
1180,Bottroper Weg 4/Sterkrader Str. 43,Bottroper Weg 4,52.57704755,13.282986152872168,osm
1182,Bottroper Weg 5-11,Bottroper Weg 5,52.5766547,13.282794,osm
624,"Bozener Str. 1/Grunewaldstr., Niststätte entfernt",Bozener Str. 1,52.4880533,13.3379665,osm
637,Bozener Str. 11/12,Bozener Str. 11,52.4867417,13.3379754,osm
626,Bozener Str. 13-14/Meraner Str. 18,Bozener Str. 13,52.486624,13.3384211,osm
625,Bozener Str. 21,Bozener Str. 21,52.487814,13.3383559,osm
636,Bozener Str. 8/Kufsteiner Str. 9,Bozener Str. 8,52.4869489,13.3374001,osm
632,Bozener Str. 9-13/Meraner Str. 18-20a,Bozener Str. 9,52.4867576,13.3385683,osm
1611,Brabanter Str. 18-20,Brabanter Str. 18,52.480526,13.3157382,osm
806,Brahestr. 12/12 a,Brahestr. 12,52.5279237,13.2999582,osm
807,Brahestr. 28,Brahestr. 28,52.5277395,13.2996037,osm
767,Brahestr. 39/Mierendorffplatz 15,Brahestr. 39,52.5266092,13.3037756,osm
1311,Braillestr. 8a,Braillestr. 8a,52.4536978,13.31477,osm
406,Brandenburgische Str. 22/Zähringer Str. 23,Brandenburgische Str. 22,52.495924,13.3086024,osm
1226,Brandenburgische Str. 14,Brandenburgische Str. 14,52.4452996,13.3493638,osm
118,Brandenburgische Str. 16/Konstanzer Str. 15,Brandenburgische Str. 16,52.4941126,13.3099147,osm
404,Brandenburgische Str. 28/Duisburger Str. 11,Brandenburgische Str. 28,52.4979296,13.3078904,osm
984,"Brandenburgische Str. 3 a, 4",Brandenburgische Str. 3,52.4880262,13.3177569,osm
975,Brandenburgische Str. 40 a,Brandenburgische Str. 40 a,52.4935692,13.3101774,osm
407,Brandenburgische Str. 44,Brandenburgische Str. 44,52.4964398,13.3079072,osm
408,Brandenburgische Str. 44 a,Brandenburgische Str. 44 a,52.4935692,13.3101774,osm
405,Brandenburgische Str. 46/Ravensberger Str. 20,Brandenburgische Str. 46,52.4958318,13.3081127,osm
985,Brandenburgische Str. 75,Brandenburgische Str. 75,52.487939,13.31725234856557,osm
1135,Brauhofstr. 2 a,Brauhofstr. 2 a,52.5191375,13.3043229,osm
1136,"Brauhofstr. 6,7,8",Brauhofstr. 6,52.5191847,13.303708,osm
854,Brehmestr. 48,Brehmestr. 48,52.5620077,13.3976912,osm
759,Breisgauer Str. 2,Breisgauer Str. 2,52.4395926,13.2143575,osm
447,Breite Str. 12/Cunostr.,Breite Str. 12,52.474231,13.2950105,osm
545,Breite Str. 13/Cunostr. 110,Breite Str. 13,52.4743916,13.2942692,osm
804,Breite Str. 21/22,Breite Str. 21,52.475133,13.2920944,osm
446,Breite Str. 24,Breite Str. 24,52.4754198,13.2911539,osm
1851,"Breite Str. 28, 29, 30, 31",Breite Str. 28,52.4747845,13.2915615,osm
1351,Breite Str. 29,Breite Str. 29,52.4514986,13.3255038,osm
18,Breite Str. 33,Breite Str. 33,52.4744041,13.2925035,osm
19,Breite Str. 33-36,Breite Str. 33,52.473198,13.2990012,osm
17,Breite Str. 34,Breite Str. 34,52.4743551,13.2926484,osm
15,Breite Str. 46,Breite Str. 46,52.4734773,13.2963346,osm
