id,web_id,bezirk,plz,ort,strasse,anhang,erstbeobachtung,beschreibung,besonderes,checksum,update_date,new,mauersegler,kontrolle,sperling,ersatz,schwalbe,wichtig,star,sanierung,fledermaus,verloren,andere,noSpecies,is_test,strasse_original,has_comma,has_slash,has_range,multiple_numbers,multiple_streets,flag_has_text_after_number,text_after_number,no_geocode,osm_latitude,osm_longitude,google_latitude,google_longitude,latitude,longitude
1612,1178,Reinickendorf,13507,Berlin,Sterkrader Str. 38,Skizze,2013-06-05 00:00:00,"2013 5x Mauersegler unter Dachrinne, alle von Bernauer Str aus zu sehen (Hinterfront), 2x Sperlinge, zahlreiche weitere Stellen mit Kotspuren, siehe Skizze",,af4bf8143af4ee101ca0513dd2905e76cee9d3ca579ca1963d6039a8,2020-05-08 10:59:33,0,1,1,1,0,0,1,0,0,0,0,0,0,0,Sterkrader Str. 38/Ecke Bernauer Str.,0,1,0,0,1,0,,0,52.5754201,13.285576,52.57547,13.2855199,52.57547,13.2855199
1613,1179,Reinickendorf,13507,Berlin,Sterkrader Str. 43,"Skizze, Foto",2013-06-12 00:00:00,"2013 Siehe  auch Bottroper Weg 4 / 2x Mauersegler in Frong zum Bottroper Weg, einmal ca. 1 m von Ecke Sterkrader Str. unter Dachrinne und 1x an Spalt von anderer Ecke ca 70 cm entfernt, alle unter Verblendung Dach, dazu viele Sperlinge und Anflüge",,77de64910bffd6fc7a097e97f63c951028f61a439b63b19a7ccef6fd,2020-05-08 10:59:33,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Sterkrader Str. 43/Bottroper Weg 4,0,1,0,0,1,0,,0,52.5761869,13.2846272,52.5762104,13.2846617,52.5762104,13.2846617
1614,1177,Reinickendorf,13507,Berlin,Sterkrader Str. 45F,"Skizze,Foto",2013-06-05 00:00:00,"2013 Mauerseger an hausecke unter Verblendung, rechte Hausecke siehe Skizze viele Sperlinge unterwegs",,352f3da3592c598b77d7d9fb15ce2d4ea89d0731104e47fe0b30bae6,2020-05-08 10:59:34,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,52.5772537,13.2833842,52.5773,13.28344,52.5773,13.28344
1615,1572,Treptow,12487,Berlin,Sterndamm 66a,,2016-08-01 00:00:00,"2016: Mauersegler im Wandloch (Hohlraum im Mauerwerk) unter dem Dach (Neubau 2015)
Ausflug eines Jungtieres konnte beobachtet werden (2016)
","--> Melderin Datenbank, keine Kontaktangaben, Angaben nicht kontrolliert.",8af3e173becc74f6eee69fb3737d427516b69926230f5edc9c319fb2,2020-05-08 10:59:34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,52.4516846,13.5092706,52.44754289999999,13.5064571,52.44754289999999,13.5064571
1616,831,Schöneberg,12159,Berlin,Stierstr. 2,,2011-06-10 00:00:00,2011 In Fassadenbegrünung viele Sperlinge,Fassadenbegrünung,94aed3df8e58866e04efdda25af9fa56acf66c5dadffa6cfaef705e1,2020-05-15 18:28:35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,52.4744295,13.3376999,52.4744495,13.3378073,52.4744495,13.3378073
1617,262,Schöneberg,12159,Berlin,Stierstr. 3,,2007-06-14 00:00:00,"altes Haus, Fassade ok

2011: altes Haus, Fassade gut, Bereich Haustür vorbauartig, dort 2x Sperlinge unter Dachrinne

2007: 1x Sperlinge in Linie links von Haustür unter Dachrinne",,f846d6c002445bcaed15bb749d3da266fadf44b4e8b885f99b4fbad8,2020-06-08 19:21:25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,52.4746879,13.3376887,52.4747267,13.3377925,52.4747267,13.3377925
1618,386,Schöneberg,12159,Berlin,Stierstr. 6,,2008-07-01 00:00:00,"alter Bau, guter Zustand // an rechter Hausgrenze, am Ende der Dachrinne neben Fallrohr 1x Mauersegler",,dbd306ef135e8367221d9963b4742155f35f0751e970a05dacb510e7,2020-06-25 13:21:12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,52.4753686,13.3377485,52.4754521,13.3379373,52.4754521,13.3379373
1619,263,Schöneberg,12159,Berlin,Stierstr. 7,,2007-06-14 00:00:00,"2008: altes Haus // zusätzliche Niststätten seit 2007 // am linken Giebel seitlich 2x Sperlinge

Am Haus runder Vorbau, an Ecke, dort in Mitte Vorbau 2x Mauersegler, und an rechter Seite des Vorbaus 1x Sperlinge, sowie einmal an gerader Front zur Hähnelstr. 15a 1x Sperlinge unter Dachrinne.

2007: Am Haus runder Vorbau, an Ecke, dort in Mitte Vorbau 1x Mauersegler, und an rechter Seite des Vorbaus 1x Sperlinge, unter Dachrinne",,b9d47aa9a86c25d33cb673b039a19913d7c364d5955e3521b4f02b30,2021-02-08 17:01:54,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Stierstr. 7/Hähnelstr. 15 a,0,1,0,0,1,0,,0,52.475781,13.3377103,52.4759876,13.3377231,52.4759876,13.3377231
1620,264,Schöneberg,12159,Berlin,Stierstr. 8,,2007-06-14 00:00:00,"2007: jeweils 2x Sperlinge unter den Giebelspitzen, dazu 1x Sperlinge am linken Giebel ca. 50 cm unter Spitze – da sind sicherlich noch mehr Stellen, auch in dem ähnlich konstruierten Nebenhaus – sehr viel ""Mauerseglerverkehr"" in dieser Umgebung.",,769165a52c6f914a1809e1ac77c152576cc0d3630d029803304817c3,2026-01-24 18:03:19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Stierstr. 8-9,0,0,1,1,0,0,,0,52.4746747,13.3375052,52.476192,13.33775,52.476192,13.33775
1621,696,Steglitz,12167,Berlin,Stindestr. 11,,2009-07-03 00:00:00,"2025-05: diverse Maursegler-Ersatzkästen  unter dem Dachfirst.

2018-05: Gerüst bis in die 4. Etage. Meldung an UNB. Gerüststäbe versetzt.

2013: mind. 30 Mauersegler kreisend im Flug, rechte Ecke unter Dach und Regenrinne, unter Traufe, jeweils ein Einflug

2010: Regenrinne, unter Traufe Mauersegler rechte Ecke unter Dach",,c56d78b8f37aae7e190d957265bdda05d399e834e346bdcf27df15a0,2026-01-24 18:04:56,0,1,0,0,1,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,,0,52.44738,13.3394987,52.4474207,13.3394508,52.4474207,13.3394508
1622,667,Steglitz,12167,Berlin,Stindestr. 2,Foto,2009-07-01 00:00:00,"2020-05: links vorn Einflug Haussperling, Rückseite rechts hinten: Ausflug Haussperling

2015: Rückseite Vorbau unter Dach rechte Ecke: Sperlinge Einflug

2013: linke Hausseite hinten, vor und hinter Fallrohr (jeweils 1 Einflug), vordere und hintere Ecke (jeweils 1 Einflug), mind. 10 MS im Flug kreisend, div. Anflüge

2012: dito

